Date,6C=F
2000-05-23,0.6725000143051147
2000-05-24,0.6707000136375427
2000-05-26,0.6740999817848206
2000-06-02,0.6851999759674072
2000-06-09,0.685699999332428
2000-06-13,0.6887000203132629
2000-06-16,0.6895999908447266
2000-06-23,0.6819000244140625
2000-06-30,0.6830000281333923
2000-07-03,0.6830000281333923
2000-07-07,0.682699978351593
2000-07-14,0.6820999979972839
2000-07-21,0.6872000098228455
2000-07-27,0.6869999766349792
2000-07-28,0.6848000288009644
2000-08-04,0.6784999966621399
2000-08-10,0.6822999715805054
2000-08-11,0.6819999814033508
2000-08-18,0.6850000023841858
2000-08-22,0.6841999888420105
2000-08-23,0.6797999739646912
2000-08-24,0.6790000200271606
2000-08-25,0.6801000237464905
2000-09-01,0.6852999925613403
2000-09-08,0.6834999918937683
2000-09-11,0.6825000047683716
2000-09-12,0.6815000176429749
2000-09-15,0.6801000237464905
2000-09-20,0.6802999973297119
2000-09-22,0.6776999831199646
2000-09-25,0.6776999831199646
2000-09-26,0.6779999732971191
2000-09-27,0.675000011920929
2000-09-28,0.671500027179718
2000-09-29,0.6708999872207642
2000-10-03,0.6708999872207642
2000-10-04,0.6729999780654907
2000-10-06,0.6729999780654907
2000-10-11,0.6704999804496765
2000-10-12,0.6675000190734863
2000-10-13,0.6668000221252441
2000-10-16,0.6629999876022339
2000-10-17,0.6632999777793884
2000-10-18,0.6647999882698059
2000-10-19,0.6661999821662903
2000-10-20,0.666100025177002
2000-10-23,0.6679999828338623
2000-10-24,0.6662999987602234
2000-10-25,0.6647999882698059
2000-10-26,0.6615999937057495
2000-10-27,0.6592000126838684
2000-10-30,0.6579999923706055
2000-10-31,0.6610000133514404
2000-11-01,0.6575000286102295
2000-11-02,0.6575000286102295
2000-11-03,0.6570000052452087
2000-11-06,0.6575000286102295
2000-11-07,0.6571999788284302
2000-11-08,0.6524999737739563
2000-11-09,0.6509000062942505
2000-11-10,0.6514999866485596
2000-11-13,0.6500999927520752
2000-11-14,0.6510000228881836
2000-11-15,0.6478999853134155
2000-11-16,0.646399974822998
2000-11-17,0.6449999809265137
2000-11-20,0.6449999809265137
2000-11-21,0.6485000252723694
2000-11-22,0.6498000025749207
2000-11-24,0.6538000106811523
2000-11-27,0.6549999713897705
2000-11-28,0.6553999781608582
2000-11-29,0.652999997138977
2000-11-30,0.6556000113487244
2000-12-01,0.6517000198364258
2000-12-04,0.6509000062942505
2000-12-05,0.651199996471405
2000-12-06,0.65829998254776
2000-12-07,0.6603999733924866
2000-12-08,0.6618000268936157
2000-12-11,0.6607000231742859
2000-12-12,0.6589000225067139
2000-12-13,0.6604999899864197
2000-12-14,0.6632999777793884
2000-12-15,0.6604999899864197
2000-12-18,0.6583999991416931
2000-12-20,0.6600000262260437
2000-12-21,0.6607999801635742
2000-12-22,0.6621999740600586
2000-12-26,0.6657999753952026
2000-12-27,0.6650000214576721
2000-12-28,0.6679999828338623
2000-12-29,0.6700000166893005
2001-01-02,0.6711999773979187
2001-01-04,0.6690999865531921
2001-01-05,0.6664999723434448
2001-01-08,0.6704999804496765
2001-01-09,0.6700000166893005
2001-01-10,0.6685000061988831
2001-01-11,0.6700000166893005
2001-01-12,0.6690999865531921
2001-01-16,0.6651999950408936
2001-01-17,0.6629999876022339
2001-01-18,0.6621999740600586
2001-01-19,0.6611999869346619
2001-01-22,0.6660000085830688
2001-01-23,0.6632999777793884
2001-01-24,0.6622999906539917
2001-01-25,0.6639999747276306
2001-01-26,0.6650000214576721
2001-01-29,0.6672000288963318
2001-01-30,0.6668000221252441
2001-01-31,0.6675999760627747
2001-02-01,0.6700000166893005
2001-02-02,0.6704999804496765
2001-02-05,0.6647999882698059
2001-02-06,0.6625999808311462
2001-02-07,0.6628000140190125
2001-02-08,0.6626999974250793
2001-02-09,0.6629999876022339
2001-02-12,0.6581000089645386
2001-02-13,0.6586999893188477
2001-02-14,0.6543999910354614
