Date,CL=F
2000-08-23,32.04999923706055
2000-08-24,31.6299991607666
2000-08-25,32.04999923706055
2000-08-28,32.869998931884766
2000-08-29,32.720001220703125
2000-08-30,33.400001525878906
2000-08-31,33.099998474121094
2000-09-01,33.380001068115234
2000-09-05,33.79999923706055
2000-09-06,34.95000076293945
2000-09-07,35.33000183105469
2000-09-08,33.70000076293945
2000-09-11,35.099998474121094
2000-09-12,34.20000076293945
2000-09-13,33.79999923706055
2000-09-14,34.099998474121094
2000-09-15,35.849998474121094
2000-09-18,36.880001068115234
2000-09-19,36.5
2000-09-20,37.5
2000-09-21,33.95000076293945
2000-09-22,32.650001525878906
2000-09-25,31.56999969482422
2000-09-26,31.5
2000-09-27,31.5
2000-09-28,30.299999237060547
2000-09-29,30.860000610351562
2000-10-02,32.150001525878906
2000-10-03,32.06999969482422
2000-10-04,31.5
2000-10-05,30.649999618530273
2000-10-06,30.850000381469727
2000-10-09,31.8799991607666
2000-10-10,33.150001525878906
2000-10-11,33.150001525878906
2000-10-12,36.099998474121094
2000-10-13,35.04999923706055
2000-10-16,33.099998474121094
2000-10-17,32.95000076293945
2000-10-18,33.54999923706055
2000-10-19,32.95000076293945
2000-10-20,34.29999923706055
2000-10-23,33.72999954223633
2000-10-24,33.369998931884766
2000-10-25,32.959999084472656
2000-10-26,33.75
2000-10-27,32.70000076293945
2000-10-30,32.810001373291016
2000-10-31,32.689998626708984
2000-11-01,33.20000076293945
2000-11-02,32.540000915527344
2000-11-03,32.599998474121094
2000-11-06,32.86000061035156
2000-11-07,33.400001525878906
2000-11-08,33.290000915527344
2000-11-09,33.95000076293945
2000-11-10,34.09000015258789
2000-11-13,34.43000030517578
2000-11-14,34.849998474121094
2000-11-15,35.599998474121094
2000-11-16,35.04999923706055
2000-11-17,35.599998474121094
2000-11-20,35.220001220703125
2000-11-21,35.150001525878906
2000-11-22,35.400001525878906
2000-11-27,35.380001068115234
2000-11-28,34.25
2000-11-29,34.630001068115234
2000-11-30,33.79999923706055
2000-12-01,32.04999923706055
2000-12-04,31.299999237060547
2000-12-05,29.549999237060547
2000-12-06,29.850000381469727
2000-12-07,29.360000610351562
2000-12-08,28.5
2000-12-11,29.450000762939453
2000-12-12,29.690000534057617
2000-12-13,28.5
2000-12-14,27.899999618530273
2000-12-15,28.850000381469727
2000-12-18,29.649999618530273
2000-12-19,28.799999237060547
2000-12-20,25.670000076293945
2000-12-21,26.049999237060547
2000-12-22,26.18000030517578
2000-12-26,26.649999618530273
2000-12-27,26.450000762939453
2000-12-28,25.850000381469727
2000-12-29,26.799999237060547
2001-01-02,27.200000762939453
2001-01-03,27.950000762939453
2001-01-04,28.200000762939453
2001-01-05,28.0
2001-01-08,27.350000381469727
2001-01-09,27.719999313354492
2001-01-10,29.5
2001-01-11,29.5
2001-01-12,30.049999237060547
2001-01-16,30.350000381469727
2001-01-17,29.649999618530273
2001-01-18,30.450000762939453
2001-01-19,32.099998474121094
2001-01-22,32.0
2001-01-23,29.56999969482422
2001-01-24,29.049999237060547
2001-01-25,29.360000610351562
2001-01-26,29.780000686645508
2001-01-29,29.059999465942383
2001-01-30,29.059999465942383
2001-01-31,28.700000762939453
2001-02-01,29.799999237060547
2001-02-02,31.25
2001-02-05,30.5
2001-02-06,30.350000381469727
2001-02-07,31.200000762939453
2001-02-08,31.559999465942383
2001-02-09,31.049999237060547
2001-02-12,30.549999237060547
2001-02-13,30.34000015258789
2001-02-14,29.75
2001-02-15,28.799999237060547
2001-02-16,29.15999984741211
2001-02-20,28.579999923706055
2001-02-21,28.549999237060547
2001-02-22,28.81999969482422
2001-02-23,29.0
2001-02-26,28.440000534057617
2001-02-27,28.1200008392334
2001-02-28,27.420000076293945
2001-03-01,27.649999618530273
2001-03-02,27.84000015258789
2001-03-05,28.600000381469727
2001-03-06,28.299999237060547
2001-03-07,28.950000762939453
2001-03-08,28.489999771118164
2001-03-09,27.799999237060547
2001-03-12,28.0
2001-03-13,27.450000762939453
2001-03-14,26.450000762939453
2001-03-15,26.649999618530273
2001-03-16,26.700000762939453
2001-03-19,26.18000030517578
2001-03-20,25.899999618530273
2001-03-21,26.799999237060547
2001-03-22,26.520000457763672
2001-03-23,27.299999237060547
2001-03-26,27.459999084472656
2001-03-27,27.75
2001-03-28,26.25
2001-03-29,26.350000381469727
2001-03-30,26.399999618530273
2001-04-02,25.59000015258789
2001-04-03,26.190000534057617
2001-04-04,27.1200008392334
2001-04-05,27.260000228881836
2001-04-06,27.059999465942383
2001-04-09,27.34000015258789
2001-04-10,28.479999542236328
2001-04-11,28.18000030517578
2001-04-12,28.25
2001-04-16,28.790000915527344
2001-04-17,28.239999771118164
2001-04-18,27.950000762939453
2001-04-19,27.829999923706055
2001-04-20,27.280000686645508
2001-04-23,27.610000610351562
2001-04-24,26.860000610351562
2001-04-25,27.290000915527344
2001-04-26,28.440000534057617
2001-04-27,28.270000457763672
2001-04-30,28.459999084472656
2001-05-01,28.940000534057617
2001-05-02,27.799999237060547
2001-05-03,28.450000762939453
2001-05-04,28.360000610351562
2001-05-07,27.770000457763672
2001-05-08,27.389999389648438
2001-05-09,28.229999542236328
2001-05-10,28.520000457763672
2001-05-11,28.549999237060547
2001-05-14,28.709999084472656
2001-05-15,28.979999542236328
2001-05-16,28.860000610351562
2001-05-17,28.90999984741211
2001-05-18,29.90999984741211
2001-05-21,29.979999542236328
2001-05-22,29.739999771118164
2001-05-23,29.579999923706055
2001-05-24,28.40999984741211
2001-05-25,28.3799991607666
2001-05-29,28.65999984741211
