Date,6B=F
2000-10-05,1.4575999975204468
2000-10-06,1.4514000415802002
2000-10-13,1.4586000442504883
2000-10-16,1.4586000442504883
2000-10-18,1.4558000564575195
2000-10-19,1.4493999481201172
2000-10-20,1.4515999555587769
2000-10-30,1.4600000381469727
2000-10-31,1.455399990081787
2000-11-01,1.4556000232696533
2000-11-02,1.4556000232696533
2000-11-03,1.4526000022888184
2000-11-07,1.4368000030517578
2000-11-09,1.430400013923645
2000-11-10,1.434999942779541
2000-11-22,1.419600009918213
2000-11-24,1.409000039100647
2000-11-28,1.42739999294281
2000-11-30,1.4323999881744385
2000-12-07,1.450600028038025
2001-01-03,1.5011999607086182
2001-01-04,1.5
2001-01-09,1.4889999628067017
2001-01-12,1.4766000509262085
2001-01-17,1.468400001525879
2001-01-25,1.4564000368118286
2001-01-26,1.4570000171661377
2001-01-29,1.4570000171661377
2001-01-31,1.4600000381469727
2001-02-02,1.4628000259399414
2001-02-09,1.4412000179290771
2001-02-12,1.4470000267028809
2001-02-16,1.4500000476837158
2001-02-21,1.4434000253677368
2001-02-28,1.4395999908447266
2001-03-06,1.4637999534606934
2001-03-07,1.4589999914169312
2001-03-09,1.4651999473571777
2001-03-12,1.4595999717712402
2001-03-14,1.445199966430664
2001-03-16,1.4242000579833984
2001-03-19,1.4240000247955322
2001-03-20,1.4248000383377075
2001-03-21,1.4259999990463257
2001-03-27,1.4299999475479126
2001-03-28,1.4284000396728516
2001-03-29,1.4329999685287476
2001-03-30,1.4160000085830688
2001-04-02,1.413599967956543
2001-04-03,1.4292000532150269
2001-04-04,1.430400013923645
2001-04-05,1.424399971961975
2001-04-06,1.4335999488830566
2001-04-09,1.4426000118255615
2001-04-10,1.4426000118255615
2001-04-11,1.4329999685287476
2001-04-12,1.4356000423431396
2001-04-16,1.4312000274658203
2001-04-17,1.4263999462127686
2001-04-18,1.4234000444412231
2001-04-19,1.440000057220459
2001-04-20,1.437999963760376
2001-04-23,1.4354000091552734
2001-04-24,1.4318000078201294
2001-04-25,1.4359999895095825
2001-04-26,1.4371999502182007
2001-04-27,1.4290000200271606
2001-04-30,1.4265999794006348
2001-05-01,1.4301999807357788
2001-05-02,1.4287999868392944
2001-05-03,1.4315999746322632
2001-05-04,1.434000015258789
2001-05-07,1.432800054550171
2001-05-08,1.4204000234603882
2001-05-09,1.4160000085830688
2001-05-10,1.417799949645996
2001-05-11,1.4146000146865845
2001-05-14,1.414199948310852
2001-05-15,1.4185999631881714
2001-05-16,1.4254000186920166
2001-05-17,1.4257999658584595
2001-05-18,1.434399962425232
2001-05-21,1.4342000484466553
2001-05-22,1.4221999645233154
2001-05-23,1.413599967956543
2001-05-24,1.4040000438690186
2001-05-25,1.4174000024795532
2001-05-29,1.4179999828338623
2001-05-30,1.4226000308990479
2001-05-31,1.4118000268936157
2001-06-01,1.4132000207901
2001-06-04,1.4098000526428223
2001-06-05,1.406000018119812
2001-06-06,1.386199951171875
2001-06-07,1.3854000568389893
2001-06-08,1.3766000270843506
2001-06-11,1.3697999715805054
2001-06-12,1.368399977684021
2001-06-13,1.3858000040054321
2001-06-14,1.3971999883651733
2001-06-15,1.3997999429702759
2001-06-18,1.3996000289916992
2001-06-19,1.3952000141143799
2001-06-20,1.3941999673843384
2001-06-21,1.4119999408721924
2001-06-22,1.4068000316619873
2001-06-25,1.4091999530792236
2001-06-26,1.410599946975708
2001-06-27,1.4118000268936157
2001-06-28,1.4043999910354614
2001-06-29,1.4093999862670898
2001-07-02,1.4121999740600586
2001-07-03,1.4021999835968018
2001-07-05,1.3966000080108643
2001-07-06,1.4085999727249146
2001-07-09,1.4048000574111938
2001-07-10,1.4074000120162964
2001-07-11,1.4046000242233276
2001-07-12,1.4041999578475952
2001-07-13,1.3985999822616577
2001-07-16,1.3977999687194824
2001-07-17,1.3961999416351318
2001-07-18,1.414199948310852
2001-07-19,1.4249999523162842
2001-07-20,1.4279999732971191
2001-07-23,1.4160000085830688
2001-07-24,1.4206000566482544
2001-07-25,1.4246000051498413
2001-07-26,1.4256000518798828
2001-07-27,1.4212000370025635
2001-07-30,1.4242000579833984
2001-07-31,1.4227999448776245
2001-08-01,1.4318000078201294
2001-08-02,1.4293999671936035
2001-08-03,1.426800012588501
2001-08-06,1.4179999828338623
2001-08-07,1.4151999950408936
2001-08-08,1.4143999814987183
2001-08-09,1.4242000579833984
2001-08-10,1.4221999645233154
2001-08-13,1.420199990272522
2001-08-14,1.42739999294281
2001-08-15,1.4387999773025513
2001-08-16,1.4453999996185303
2001-08-17,1.4450000524520874
2001-08-20,1.4428000450134277
2001-08-21,1.448199987411499
2001-08-22,1.44760000705719
2001-08-23,1.4464000463485718
2001-08-24,1.4423999786376953
2001-08-27,1.4437999725341797
2001-08-28,1.4500000476837158
2001-08-29,1.4514000415802002
2001-08-30,1.457800030708313
2001-08-31,1.4537999629974365
2001-09-04,1.44159996509552
2001-09-05,1.4573999643325806
2001-09-06,1.455399990081787
2001-09-07,1.460800051689148
2001-09-10,1.4579999446868896
2001-09-11,1.4351999759674072
2001-09-12,1.4351999759674072
2001-09-13,1.4701999425888062
2001-09-14,1.4709999561309814
2001-09-17,1.472000002861023
2001-09-18,1.4625999927520752
2001-09-19,1.4628000259399414
2001-09-20,1.4589999914169312
2001-09-21,1.4493999481201172
2001-09-24,1.4565999507904053
2001-09-25,1.4639999866485596
2001-09-26,1.4687999486923218
2001-09-27,1.468000054359436
2001-09-28,1.4667999744415283
2001-10-01,1.4722000360488892
2001-10-02,1.4634000062942505
2001-10-03,1.468999981880188
