Date,NG=F
2000-08-30,4.804999828338623
2000-08-31,4.78000020980835
2000-09-01,4.835000038146973
2000-09-05,4.960000038146973
2000-09-06,5.065000057220459
2000-09-07,4.998000144958496
2000-09-08,4.880000114440918
2000-09-11,5.014999866485596
2000-09-12,5.005000114440918
2000-09-13,5.054999828338623
2000-09-14,5.195000171661377
2000-09-15,5.204999923706055
2000-09-18,5.295000076293945
2000-09-19,5.369999885559082
2000-09-20,5.320000171661377
2000-09-21,5.2870001792907715
2000-09-22,5.13100004196167
2000-09-25,5.276000022888184
2000-09-26,5.360000133514404
2000-09-27,5.329999923706055
2000-09-28,5.139999866485596
2000-09-29,5.199999809265137
2000-10-02,5.3520002365112305
2000-10-03,5.3480000495910645
2000-10-04,5.289999961853027
2000-10-05,5.1519999504089355
2000-10-06,5.0
2000-10-09,5.150000095367432
2000-10-10,5.133999824523926
2000-10-11,5.585000038146973
2000-10-12,5.625
2000-10-13,5.534999847412109
2000-10-16,5.355000019073486
2000-10-17,5.460000038146973
2000-10-18,5.210000038146973
2000-10-19,4.960000038146973
2000-10-20,4.936999797821045
2000-10-23,5.072000026702881
2000-10-24,4.820000171661377
2000-10-25,4.650000095367432
2000-10-26,4.65500020980835
2000-10-27,4.53000020980835
2000-10-30,4.480000019073486
2000-10-31,4.5
2000-11-01,4.685999870300293
2000-11-02,4.760000228881836
2000-11-03,4.909999847412109
2000-11-06,4.848999977111816
2000-11-07,5.079999923706055
2000-11-08,5.340000152587891
2000-11-09,5.445000171661377
2000-11-10,5.460000038146973
2000-11-13,5.690000057220459
2000-11-14,6.019999980926514
2000-11-15,6.239999771118164
2000-11-16,5.789999961853027
2000-11-17,6.119999885559082
2000-11-20,6.239999771118164
2000-11-21,6.409999847412109
2000-11-22,6.577000141143799
2000-11-27,6.380000114440918
2000-11-28,6.070000171661377
2000-11-29,6.179999828338623
2000-11-30,6.579999923706055
2000-12-01,6.675000190734863
2000-12-04,7.449999809265137
2000-12-05,7.409999847412109
2000-12-06,8.449999809265137
2000-12-07,8.399999618530273
2000-12-08,8.585000038146973
2000-12-11,9.420000076293945
2000-12-12,8.199999809265137
2000-12-13,7.599999904632568
2000-12-14,7.413000106811523
2000-12-15,8.399999618530273
2000-12-18,8.527000427246094
2000-12-19,9.10200023651123
2000-12-20,9.359999656677246
2000-12-21,9.850000381469727
2000-12-22,9.579000473022461
2000-12-26,9.800000190734863
2000-12-27,10.039999961853027
2000-12-28,9.262999534606934
2000-12-29,9.774999618530273
2001-01-02,8.36400032043457
2001-01-03,8.220000267028809
2001-01-04,9.0
2001-01-05,9.25
2001-01-08,9.699999809265137
2001-01-09,9.800000190734863
2001-01-10,9.180000305175781
2001-01-11,8.710000038146973
2001-01-12,8.472000122070312
2001-01-16,8.102999687194824
2001-01-17,6.908999919891357
2001-01-18,7.136000156402588
2001-01-19,7.480000019073486
2001-01-22,7.456999778747559
2001-01-23,6.946000099182129
2001-01-24,7.119999885559082
2001-01-25,7.269999980926514
2001-01-26,7.28000020980835
2001-01-29,6.619999885559082
2001-01-30,6.0970001220703125
2001-01-31,5.650000095367432
2001-02-01,6.400000095367432
2001-02-02,6.743000030517578
2001-02-05,5.705999851226807
2001-02-06,5.763999938964844
2001-02-07,6.25
2001-02-08,6.170000076293945
2001-02-09,6.210000038146973
2001-02-12,5.809999942779541
2001-02-13,6.019999980926514
2001-02-14,5.510000228881836
2001-02-15,5.59499979019165
2001-02-16,5.567999839782715
2001-02-20,5.269999980926514
2001-02-21,5.150000095367432
2001-02-22,5.139999866485596
2001-02-23,5.150000095367432
2001-02-26,5.059999942779541
2001-02-27,5.289999961853027
2001-02-28,5.244999885559082
2001-03-01,5.184999942779541
2001-03-02,5.275000095367432
2001-03-05,5.335999965667725
2001-03-06,5.309999942779541
2001-03-07,5.349999904632568
2001-03-08,5.289999961853027
2001-03-09,5.079999923706055
2001-03-12,5.170000076293945
2001-03-13,5.010000228881836
2001-03-14,4.920000076293945
2001-03-15,4.934999942779541
2001-03-16,5.03000020980835
2001-03-19,5.065000057220459
2001-03-20,5.28000020980835
2001-03-21,5.050000190734863
2001-03-22,5.215000152587891
2001-03-23,5.269999980926514
2001-03-26,5.320000171661377
2001-03-27,5.625
2001-03-28,5.409999847412109
2001-03-29,5.275000095367432
2001-03-30,5.03000020980835
2001-04-02,5.103000164031982
2001-04-03,5.114999771118164
2001-04-04,5.182000160217285
2001-04-05,5.429999828338623
2001-04-06,5.388000011444092
2001-04-09,5.4770002365112305
2001-04-10,5.559000015258789
2001-04-11,5.380000114440918
2001-04-12,5.38100004196167
2001-04-16,5.515999794006348
2001-04-17,5.248000144958496
2001-04-18,5.1479997634887695
2001-04-19,5.110000133514404
2001-04-20,5.127999782562256
2001-04-23,5.125
2001-04-24,5.078000068664551
2001-04-25,4.960000038146973
2001-04-26,4.890999794006348
2001-04-27,4.867000102996826
2001-04-30,4.695000171661377
2001-05-01,4.640999794006348
2001-05-02,4.482999801635742
2001-05-03,4.5269999504089355
2001-05-04,4.489999771118164
2001-05-07,4.238999843597412
2001-05-08,4.2789998054504395
2001-05-09,4.199999809265137
2001-05-10,4.3480000495910645
2001-05-11,4.2779998779296875
2001-05-14,4.394000053405762
2001-05-15,4.6529998779296875
2001-05-16,4.297999858856201
2001-05-17,4.248000144958496
2001-05-18,4.290999889373779
2001-05-21,4.110000133514404
2001-05-22,4.123000144958496
2001-05-23,4.11299991607666
2001-05-24,4.053999900817871
2001-05-25,3.9730000495910645
2001-05-29,3.73799991607666
2001-05-30,3.9809999465942383
