Date,6S=F
2000-11-10,0.580299973487854
2000-11-17,0.5692999958992004
2000-11-22,0.5695000290870667
2000-11-24,0.5674999952316284
2000-12-01,0.5932999849319458
2000-12-08,0.597100019454956
2000-12-15,0.607699990272522
2000-12-29,0.6290000081062317
2001-01-02,0.6345000267028809
2001-01-09,0.6269999742507935
2001-01-12,0.626800000667572
2001-01-18,0.6255000233650208
2001-01-19,0.6190000176429749
2001-01-24,0.6122000217437744
2001-01-26,0.613099992275238
2001-02-02,0.6144999861717224
2001-02-06,0.6104999780654907
2001-02-09,0.609000027179718
2001-02-12,0.61080002784729
2001-02-13,0.6047999858856201
2001-02-15,0.5971999764442444
2001-02-16,0.6029000282287598
2001-02-20,0.5989999771118164
2001-02-21,0.6029999852180481
2001-02-22,0.5982999801635742
2001-02-23,0.5967000126838684
2001-02-28,0.6046000123023987
2001-03-01,0.6096000075340271
2001-03-02,0.6115000247955322
2001-03-05,0.6104999780654907
2001-03-06,0.611299991607666
2001-03-07,0.6111000180244446
2001-03-08,0.6079999804496765
2001-03-12,0.6086000204086304
2001-03-13,0.5979999899864197
2001-03-14,0.5979999899864197
2001-03-15,0.5920000076293945
2001-03-16,0.5885000228881836
2001-03-21,0.5906999707221985
2001-03-22,0.5820000171661377
2001-03-23,0.5853000283241272
2001-03-27,0.5874999761581421
2001-03-28,0.5849999785423279
2001-03-30,0.5809000134468079
2001-04-02,0.5784000158309937
2001-04-03,0.5910000205039978
2001-04-04,0.5946999788284302
2001-04-05,0.5910000205039978
2001-04-06,0.5942000150680542
2001-04-09,0.5914000272750854
2001-04-10,0.5856999754905701
2001-04-12,0.5893999934196472
2001-04-16,0.5853999853134155
2001-04-17,0.5809000134468079
2001-04-18,0.5806999802589417
2001-04-19,0.5874999761581421
2001-04-23,0.5889000296592712
2001-04-24,0.5860999822616577
2001-04-25,0.5881999731063843
2001-04-26,0.5896999835968018
2001-04-27,0.5817000269889832
2001-04-30,0.579800009727478
2001-05-01,0.5809999704360962
2001-05-02,0.5810999870300293
2001-05-03,0.5794000029563904
2001-05-04,0.5813999772071838
2001-05-07,0.5795000195503235
2001-05-08,0.5752000212669373
2001-05-09,0.5758000016212463
2001-05-10,0.5758000016212463
2001-05-11,0.5738000273704529
2001-05-14,0.5730000138282776
2001-05-15,0.5751000046730042
2001-05-16,0.5788000226020813
2001-05-17,0.57669997215271
2001-05-18,0.574999988079071
2001-05-22,0.567300021648407
2001-05-23,0.5631999969482422
2001-05-24,0.5637000203132629
2001-05-25,0.5638999938964844
2001-05-29,0.5630999803543091
2001-05-30,0.5636000037193298
2001-05-31,0.5580000281333923
2001-06-01,0.5587000250816345
2001-06-04,0.5586000084877014
2001-06-05,0.5631999969482422
2001-06-06,0.5593000054359436
2001-06-07,0.5587999820709229
2001-06-08,0.5594000220298767
2001-06-11,0.5558000206947327
2001-06-12,0.5587999820709229
2001-06-13,0.559499979019165
2001-06-14,0.566100001335144
2001-06-15,0.5630999803543091
2001-06-18,0.5634999871253967
2001-06-19,0.559499979019165
2001-06-20,0.560699999332428
2001-06-21,0.5631999969482422
2001-06-22,0.5637000203132629
2001-06-25,0.5663999915122986
2001-06-26,0.5672000050544739
2001-06-27,0.5663999915122986
2001-06-28,0.5561000108718872
2001-06-29,0.5580000281333923
2001-07-02,0.5572999715805054
2001-07-03,0.5572999715805054
2001-07-05,0.5504000186920166
2001-07-06,0.5580999851226807
2001-07-09,0.5572999715805054
2001-07-10,0.5622000098228455
2001-07-11,0.5670999884605408
2001-07-12,0.5654000043869019
2001-07-13,0.5648999810218811
2001-07-16,0.5656999945640564
2001-07-17,0.5701000094413757
2001-07-18,0.5809000134468079
2001-07-19,0.5794000029563904
2001-07-20,0.5796999931335449
2001-07-23,0.5770999789237976
2001-07-24,0.5819000005722046
2001-07-25,0.5835999846458435
2001-07-26,0.5821999907493591
2001-07-27,0.5809000134468079
2001-07-30,0.5795000195503235
2001-07-31,0.5789999961853027
2001-08-01,0.5842000246047974
2001-08-02,0.585099995136261
2001-08-03,0.5860999822616577
2001-08-06,0.5853000283241272
2001-08-07,0.5824999809265137
2001-08-08,0.5852000117301941
2001-08-09,0.5931000113487244
2001-08-10,0.5906999707221985
2001-08-13,0.5920000076293945
2001-08-14,0.5952000021934509
2001-08-15,0.6011000275611877
2001-08-16,0.6004999876022339
2001-08-17,0.6039000153541565
2001-08-20,0.6018000245094299
2001-08-21,0.6018000245094299
2001-08-22,0.6007999777793884
2001-08-23,0.602400004863739
2001-08-24,0.6004999876022339
2001-08-27,0.5997999906539917
2001-08-28,0.6007999777793884
2001-08-29,0.5996999740600586
2001-08-30,0.6057000160217285
2001-08-31,0.6000999808311462
2001-09-04,0.5856000185012817
2001-09-05,0.5863000154495239
2001-09-06,0.5917999744415283
2001-09-07,0.5968000292778015
2001-09-10,0.593500018119812
2001-09-11,0.6004999876022339
2001-09-12,0.6004999876022339
2001-09-13,0.6071000099182129
2001-09-14,0.616599977016449
2001-09-17,0.6237000226974487
2001-09-18,0.6258999705314636
2001-09-19,0.6299999952316284
2001-09-20,0.6291000247001648
2001-09-21,0.6328999996185303
2001-09-24,0.6259999871253967
2001-09-25,0.6294000148773193
2001-09-26,0.6261000037193298
2001-09-27,0.6198999881744385
2001-09-28,0.6177999973297119
2001-10-01,0.6189000010490417
2001-10-02,0.618399977684021
2001-10-03,0.6157000064849854
2001-10-04,0.6165000200271606
2001-10-05,0.6183000206947327
2001-10-08,0.6183000206947327
2001-10-09,0.616100013256073
2001-10-10,0.614300012588501
