Date,6E=F
2000-09-12,0.8730000257492065
2000-09-13,0.8770999908447266
2000-09-15,0.8715000152587891
2000-09-18,0.8675000071525574
2000-09-19,0.8665000200271606
2000-09-20,0.862500011920929
2000-09-21,0.8700000047683716
2000-09-22,0.9014999866485596
2000-09-25,0.8884999752044678
2000-09-26,0.8939999938011169
2000-09-27,0.8959000110626221
2000-09-28,0.8970000147819519
2000-09-29,0.8952999711036682
2000-10-02,0.8934999704360962
2000-10-03,0.8880000114440918
2000-10-04,0.8889999985694885
2000-10-05,0.8880000114440918
2000-10-06,0.8808000087738037
2000-10-10,0.8840000033378601
2000-10-11,0.8841999769210815
2000-10-12,0.8755000233650208
2000-10-13,0.8675000071525574
2000-10-16,0.8610000014305115
2000-10-17,0.8659999966621399
2000-10-18,0.8450000286102295
2000-10-19,0.8544999957084656
2000-10-20,0.8500000238418579
2000-10-23,0.8528000116348267
2000-10-24,0.847000002861023
2000-10-25,0.8379999995231628
2000-10-26,0.8377000093460083
2000-10-27,0.8513000011444092
2000-10-30,0.8529999852180481
2000-10-31,0.8586000204086304
2000-11-01,0.8593000173568726
2000-11-02,0.8712000250816345
2000-11-03,0.875
2000-11-06,0.869700014591217
2000-11-07,0.8709999918937683
2000-11-08,0.8654999732971191
2000-11-09,0.8734999895095825
2000-11-10,0.8730000257492065
2000-11-13,0.8715999722480774
2000-11-14,0.8684999942779541
2000-11-15,0.8671000003814697
2000-11-16,0.8682000041007996
2000-11-17,0.859499990940094
2000-11-20,0.8585000038146973
2000-11-21,0.8560000061988831
2000-11-22,0.8547000288963318
2000-11-24,0.8500999808311462
2000-11-27,0.8610000014305115
2000-11-28,0.866100013256073
2000-11-29,0.8675000071525574
2000-11-30,0.8799999952316284
2000-12-01,0.882099986076355
2000-12-04,0.8971999883651733
2000-12-05,0.8920000195503235
2000-12-06,0.8906000256538391
2000-12-07,0.9028000235557556
2000-12-08,0.8952000141143799
2000-12-11,0.8880000114440918
2000-12-12,0.886900007724762
2000-12-13,0.8849999904632568
2000-12-14,0.8981000185012817
2000-12-15,0.906499981880188
2000-12-18,0.9024999737739563
2000-12-20,0.9144999980926514
2000-12-21,0.9204999804496765
2000-12-22,0.9319999814033508
2000-12-26,0.9379000067710876
2000-12-27,0.9383000135421753
2000-12-29,0.9369999766349792
2001-01-02,0.9546999931335449
2001-01-03,0.9571999907493591
2001-01-04,0.9562000036239624
2001-01-05,0.9632999897003174
2001-01-08,0.9556999802589417
2001-01-09,0.9463000297546387
2001-01-10,0.9449999928474426
2001-01-11,0.9588000178337097
2001-01-12,0.9539999961853027
2001-01-16,0.9473000168800354
2001-01-17,0.9465000033378601
2001-01-18,0.9470000267028809
2001-01-19,0.9409999847412109
2001-01-22,0.9395999908447266
2001-01-23,0.9441999793052673
2001-01-24,0.9284999966621399
2001-01-25,0.9273999929428101
2001-01-26,0.9259999990463257
2001-01-29,0.9225999712944031
2001-01-30,0.9222000241279602
2001-01-31,0.9375
2001-02-01,0.9447000026702881
2001-02-02,0.9453999996185303
2001-02-05,0.9422000050544739
2001-02-06,0.9340000152587891
2001-02-07,0.9372000098228455
2001-02-08,0.921500027179718
2001-02-09,0.9269999861717224
2001-02-12,0.9355000257492065
2001-02-13,0.9344000220298767
2001-02-14,0.9222999811172485
2001-02-15,0.906000018119812
2001-02-16,0.920199990272522
2001-02-20,0.909500002861023
2001-02-21,0.9186000227928162
2001-02-22,0.9067999720573425
2001-02-23,0.9110000133514404
2001-02-26,0.9138000011444092
2001-02-27,0.9129999876022339
2001-02-28,0.9222999811172485
2001-03-01,0.932200014591217
2001-03-02,0.9351999759674072
2001-03-05,0.9308000206947327
2001-03-06,0.9344000220298767
2001-03-07,0.9290000200271606
2001-03-08,0.9298999905586243
2001-03-09,0.9332000017166138
2001-03-12,0.9319999814033508
2001-03-13,0.9197999835014343
2001-03-14,0.9111999869346619
2001-03-15,0.8989999890327454
2001-03-16,0.8963000178337097
2001-03-19,0.9000999927520752
2001-03-20,0.9088000059127808
2001-03-21,0.8964999914169312
2001-03-22,0.8891000151634216
2001-03-23,0.8902999758720398
2001-03-26,0.8955000042915344
2001-03-27,0.89410001039505
2001-03-28,0.8888000249862671
2001-03-29,0.8838000297546387
2001-03-30,0.8779000043869019
2001-04-02,0.8805000185966492
2001-04-03,0.8967999815940857
2001-04-04,0.9031000137329102
