Date,HO=F
2000-09-01,0.9764000177383423
2000-09-05,0.9797000288963318
2000-09-06,0.9965999722480774
2000-09-07,1.0295000076293945
2000-09-08,0.9948999881744385
2000-09-11,1.0498000383377075
2000-09-12,1.0479999780654907
2000-09-13,1.010699987411499
2000-09-14,1.0074000358581543
2000-09-15,1.031000018119812
2000-09-18,1.0420000553131104
2000-09-19,1.0199999809265137
2000-09-20,1.0184999704360962
2000-09-21,1.0
2000-09-22,0.9555000066757202
2000-09-25,0.9399999976158142
2000-09-26,0.9350000023841858
2000-09-27,0.9480000138282776
2000-09-28,0.9129999876022339
2000-09-29,0.9300000071525574
2000-10-02,0.9605000019073486
2000-10-03,0.9635000228881836
2000-10-04,0.9634000062942505
2000-10-05,0.9272000193595886
2000-10-06,0.9330000281333923
2000-10-09,0.9549000263214111
2000-10-10,0.9959999918937683
2000-10-11,1.0160000324249268
2000-10-12,1.0770000219345093
2000-10-13,1.0169999599456787
2000-10-16,0.9725000262260437
2000-10-17,0.9602000117301941
2000-10-18,0.9661999940872192
2000-10-19,0.9488999843597412
2000-10-20,0.9710999727249146
2000-10-23,0.9990000128746033
2000-10-24,0.9944000244140625
2000-10-25,0.9771999716758728
2000-10-26,0.9873999953269958
2000-10-27,0.9776999950408936
2000-10-30,0.9649999737739563
2000-10-31,0.9399999976158142
2000-11-01,0.9409000277519226
2000-11-02,0.9318000078201294
2000-11-03,0.9217000007629395
2000-11-06,0.9168999791145325
2000-11-07,0.9492999911308289
2000-11-08,0.9592999815940857
2000-11-09,1.0199999809265137
2000-11-10,1.0075000524520874
2000-11-13,1.0162999629974365
2000-11-14,1.0541000366210938
2000-11-15,1.0771000385284424
2000-11-16,1.055999994277954
2000-11-17,1.0787999629974365
2000-11-20,1.100000023841858
2000-11-21,1.0959999561309814
2000-11-22,1.0944000482559204
2000-11-27,1.0820000171661377
2000-11-28,1.0240000486373901
2000-11-29,1.0325000286102295
2000-11-30,1.0499999523162842
2000-12-01,0.9710000157356262
2000-12-04,1.0083999633789062
2000-12-05,0.9764999747276306
2000-12-06,1.0121999979019165
2000-12-07,0.992900013923645
2000-12-08,0.9447000026702881
2000-12-11,0.9829999804496765
2000-12-12,0.9614999890327454
2000-12-13,0.9100000262260437
2000-12-14,0.8884999752044678
2000-12-15,0.9179999828338623
2000-12-18,0.925000011920929
2000-12-19,0.9136999845504761
2000-12-20,0.8560000061988831
2000-12-21,0.8550000190734863
2000-12-22,0.878000020980835
2000-12-26,0.9340000152587891
2000-12-27,0.9370999932289124
2000-12-28,0.8949999809265137
2000-12-29,0.9065999984741211
2001-01-02,0.8658000230789185
2001-01-03,0.8597999811172485
2001-01-04,0.8611999750137329
2001-01-05,0.862500011920929
2001-01-08,0.8259999752044678
2001-01-09,0.8062000274658203
2001-01-10,0.8499000072479248
2001-01-11,0.8399999737739563
2001-01-12,0.8421000242233276
2001-01-16,0.8407999873161316
2001-01-17,0.8149999976158142
2001-01-18,0.8414999842643738
2001-01-19,0.8797000050544739
2001-01-22,0.8790000081062317
2001-01-23,0.8622000217437744
2001-01-24,0.8222000002861023
2001-01-25,0.8300999999046326
2001-01-26,0.8456000089645386
2001-01-29,0.8119999766349792
2001-01-30,0.8003000020980835
2001-01-31,0.7950000166893005
2001-02-01,0.7784000039100647
2001-02-02,0.8220000267028809
2001-02-05,0.8111000061035156
2001-02-06,0.8091999888420105
2001-02-07,0.828000009059906
2001-02-08,0.8417999744415283
2001-02-09,0.8223999738693237
2001-02-12,0.8014000058174133
2001-02-13,0.7900000214576721
2001-02-14,0.7724999785423279
2001-02-15,0.7590000033378601
2001-02-16,0.7601000070571899
2001-02-20,0.7480000257492065
2001-02-21,0.7425000071525574
2001-02-22,0.7390000224113464
2001-02-23,0.7409999966621399
2001-02-26,0.7477999925613403
2001-02-27,0.7465000152587891
2001-02-28,0.7225000262260437
2001-03-01,0.715499997138977
2001-03-02,0.7269999980926514
2001-03-05,0.7408000230789185
2001-03-06,0.7303000092506409
2001-03-07,0.7409999966621399
2001-03-08,0.7335000038146973
2001-03-09,0.7290999889373779
2001-03-12,0.7329999804496765
2001-03-13,0.7289999723434448
2001-03-14,0.7039999961853027
2001-03-15,0.7064999938011169
2001-03-16,0.7020000219345093
2001-03-19,0.675000011920929
2001-03-20,0.684499979019165
2001-03-21,0.7129999995231628
2001-03-22,0.7260000109672546
2001-03-23,0.7630000114440918
2001-03-26,0.7599999904632568
2001-03-27,0.777999997138977
2001-03-28,0.75
2001-03-29,0.7799999713897705
2001-03-30,0.7045000195503235
2001-04-02,0.6740000247955322
2001-04-03,0.6955999732017517
2001-04-04,0.7265999913215637
2001-04-05,0.7365000247955322
2001-04-06,0.7282999753952026
2001-04-09,0.7379999756813049
2001-04-10,0.7914000153541565
2001-04-11,0.7958999872207642
2001-04-12,0.7804999947547913
2001-04-16,0.8187000155448914
2001-04-17,0.8011999726295471
2001-04-18,0.7818999886512756
2001-04-19,0.784600019454956
2001-04-20,0.7699999809265137
2001-04-23,0.7515000104904175
2001-04-24,0.7373999953269958
2001-04-25,0.753000020980835
2001-04-26,0.776199996471405
2001-04-27,0.7573999762535095
2001-04-30,0.746999979019165
2001-05-01,0.7646999955177307
2001-05-02,0.7436000108718872
2001-05-03,0.7657999992370605
2001-05-04,0.7656999826431274
2001-05-07,0.7480000257492065
2001-05-08,0.7488999962806702
2001-05-09,0.7677000164985657
2001-05-10,0.7681999802589417
2001-05-11,0.7605000138282776
2001-05-14,0.7524999976158142
2001-05-15,0.7663000226020813
2001-05-16,0.7752000093460083
